Sentence_Preprocessed,Emotion
dont buy tub feel vile,anger
feeling irritated slightly upset conversation,anger
ive worked really hard year try make child class feel like valued,joy
knew feeling unsure amp scared let overpower gave feeling gave,fear
feel like sequel ok overrated great many deem,joy
expert simply filmmaker feel really uncomfortable speaking level higher audience especially often real expert audience know much medical radiation issue,fear
feel dangerous enough get,anger
random moment feel suddenly creative would love sit hear tick tick tick keyboard key thought spilled onto screen,joy
feel stressed,anger
let think behaviour towards child feel strange mix guilt admiration resilience,fear
may spent last hour feeling like tortured soul side sunshine rainbow,fear
feel gracious freaking finance saw fit smooth thing monetarily say,joy
walia feel suspicious tarun ban,fear
coped barely twenty four hour feeling wrung distraught,fear
want least feel intelligent believe becoming well read person help,joy
start feel frantic candle match one flashlight thats actually ashers bug light fan house move bed outside boy bath dont touch candle goodbye meat fridge,fear
left feeling happy time rest take care time huge sense guilt build inside respected date unreliable teacher selfish friend,joy
drafted post least month ago feeling quite uncertain,fear
simply dont want make mad want able share thing feel like emotionally far apart make mad make unable go,anger
feeling little intimidated rider central park right dont want go,fear
feel bit rude writing elderly gentleman ask gift feel bit greedy christmas mild greed,anger
find every body beautiful want people feel vital body,joy
bit impractical thought feel make life le doubtful,fear
know feel ache pain tummy get frightened incase em,fear
feel blessed year thankful learned,joy
think feeling one nay important thing,joy
know exactly put feel like really acceptable foist inconvenience family,joy
still feel vulnerable hurt manageable,fear
feel everyone ability artistic special way find attractive art unleashed fromthe virgin artist,joy
ive gotten used hearing david time havent heard lot tonight stayed last night result im feeling little paranoid,fear
feel confused life teenager jaded year old man,fear
feel little uptight really conscious careful everything happens,fear
feel distracted people think overreacted,anger
feel hesitant comment want add pileon seems clear involved learned past experience interested applying learning future project,fear
landed reagan airport feeling pretty good,joy
feel derp innocent go lrt train always packed last time rode like year ago,joy
feel like look gorgeous curl instead making full transition ended getting extremely natural red lowlights bottom section hair,joy
im feeling timid six,fear
im loving green picture feeling may going something little kid friendly,joy
feel nervous new thing anymore type attitude rather really hope dont screw type attitude,fear
put leg around wrap arm feel safe,joy
resorted yesterday post peak day illness still housebound feeling agitated peckish brew href http pic,anger
sure organisation best intention though disagree whole heartedly get feeling demostrators slightly hostile student,anger
seen there something set make feel glad,joy
feel uncomfortable fact powerless moment,fear
feel passionate artistic settled craft,joy
kind feel fearful starting,fear
feel project clever useful enough figured would start sharing instructables wrote first one weekend,joy
wasnt feeling well take day work lot winter germ going round air conditioned office probably doesnt help,joy
feel particularly inspired,joy
feel selfish self indulgent,anger
crave getting moving dont feel agitated,fear
feel nervous around people someone,fear
chose innocent world alphabet rose jsk longer length longer length lolita dress always feel casual innocent knee length style reminds jane austen,joy
promised buy cupcake bt im feeling shy face n thn miss,fear
im feeling frantic time whole summer giant hour glass im vigilant sand going rush whoosh ill dipshit show,fear
feel le agitated bit sad sometimes,anger
im still feeling bit shaken,fear
would feel violent stab loneliness,anger
hasan man make feel shy retiring modest true english word schadenfreude,fear
hate say felt tinge feeling last week watched beloved red sox fall tampa bay devil ray,joy
im feeling pretty shaken moment,fear
im feeling envious pregant co worker,anger
feel rebellious think let,anger
feel way make even angry,anger
learned foundry childhood humor made perfect shield keeping people bay helping conceal true feeling lending appearance truth lie would tell happy providing wherewithal get day,joy
view way growing people constantly made feel like wasnt good enough,joy
feel call sincere apology,joy
feel like smell pretty use,joy
feeling hopeful around time took,joy
feel casual straight,joy
feel shaken guilty better mother shielding offspring health problem,fear
feel horribly restless,fear
feel anxious quite time fact,fear
feel like sweet carby yet low glycemic meal breakfast often dessert,joy
feeling little shaky called day small bike,fear
im feeling really bitchy stop reading dont want hear sob story,anger
feel like there dangerous chance im pulling quixote blinding rushing windmill eventual marriage future child,anger
neither ask deserve feel frightened kook put danger reason,fear
feel like uncertain thing certain,fear
feeling much sadness realising gone life like celebration longer harden hide scared others,fear
trusted mike deeply personal information feeling delighted seeing trust rewarded pragmatic advice practical outcome,joy
feel like ive become relaxed parent,joy
feel hostile towards sarcoidosis usual,anger
help feeling jealous,anger
hate feeling pressured carry conversation didnt would end two u breathing receiver got steamy,fear
feel jealous,anger
hate hungry weak feel stubborn dont want anything productive,anger
feel self pressured expectation keep date family event order assuage guilt go,fear
hate feeling like im always getting mad reason feeling lonely,anger
subconsciously feel little bashful display nakedness front watching maid wipe window outside room actually shadow behind drawn curtain,fear
feel generous evening id like share pie crust recipe help struggled trying make pie,joy
feel insecure around people marvel people humble,fear
drop great deal paratrooper table feel need conduct useful air mission,joy
feeling stressed day,anger
feel scared stupid,fear
thought would sweetly cover really feeling say something pleasant bad thing done whatever,joy
feel tortured tiredness everyday,fear
feeling doubtful sad relationship man,fear
feel like kinda bitchy alot people whatever,anger
woke morning feeling content despite yesterday day involved mundane paperwork government bureaucrat revel,joy
feel talk brother law extremely popular one think stiff,joy
ive feeling helpless since superstorm sandy hit one favorite place world suspect lot share feeling,fear
understand musician sometimes feel inhibited,fear
feel resentful education rel bookmark feel resentful education class entry author href http liveagainsttheflow,anger
petronas year feel petronas performed well made huge profit,joy
feel today indication next week doubtful much energy left low key new year eve party,fear
feel tortured,anger
say little piece feel agitated watch discussion race style color font family georgia serif font size px line height,fear
feel consistently dissatisfied disengaged disinterested without zest life eat,anger
annoyed particular day seemad odds favour grandfather added fuel fire,anger
feel like smell scent taiwan quite frequently cute coffee shop bathroom,joy
feel terrified like im edge precipice staring ahead,fear
feel calm,joy
remember child feeling totally scandalized outraged found girl didnt play nfl,anger
im feeling quite joyful today,joy
feeling honored grateful blessed get spend day remarkable th grader,joy
starting feel bit insulted stranger,anger
definitely feel poem conversation nature poetry way rebellious activist might conversation government official,anger
want wimp feeling outraged,anger
longer angst inside kind yelping passion feeling wronged drove initial connection emo,anger
feel petty thinking like feel stupid let thing get easily,anger
try let ignorance get energy feel important sometimes ill engage little light debate try broaden view world,joy
im feeling strong healthy motivated overall positive everything,joy
feel like going friendly safe environment booking flight pe,joy
feel like warner brother fucked final edit even better film arriving director cut format blu ray,anger
feel like roller coaster craziness keep mind throne precious lady anything keep way even mean killing people around,joy
felt like facebook catalyst feel way started see bit hostile online community,anger
feel guilt cranky last night fully embrace evening alone boy,anger
transferred operating bed began feel little apprehensive,fear
im supposed stay lively room explorer feel lively room simply enuff offer decided move stair bedroom baffroom,joy
im feeling triumphant may high five choose mind ill laugh,joy
feel like really cranky school day,anger
immediately feeling guilt selfish thought practical side appears could would take care kid parent,anger
supposed feel persom wickdly love long tell see he got girlfriend faithful im around,joy
almost feel confused character honestly say actually thing going pretty well,fear
really feel content really feel ne,joy
im definitely feeling festive,joy
want positive morning need convince subconscious believing feeling terrific,joy
feel bitter lot wish mother son place,anger
cant help feel aside like dick hobbs rebecca mcpherson im exactly popular guy school,joy
aint pissed angry mad anything feel pretty much fuckin insulted,anger
thing list feel super guilty relax,joy
feel like calling bitch wasnt exactly bitchy coz wasnt intentional could call ungrateful inconsiderate selfish ok ill say bitch,anger
function best lot plate feel uncomfortable life nothing,fear
feel slightly snobbish,anger
feel thankful lesson learning,joy
dont sleep still waking help get sleep quicker feel like going deeper relaxed sleep,joy
ill feel even pressured,fear
remember feeling impatient endless convoluted fairy tale told throughout book,anger
feel tortured one thing love one thing wont support financially cringe think spending year chained desk performing job wrote little room creativity anything else matter,anger
feel like get easily distracted making thing switch around many different project throughout week,anger
help feel personally insulted oscar denounced idea grotesque unrealistic,anger
point thing make clear went film best intention left feeling irritated confused wore,anger
wonder feel like reluctant leader,fear
feel cranky irrationally,anger
used get worthless feeling like said previously gear going ebay catch bothered go think little fish thin ground dejected angry,anger
feeling deeply offended big hurt feeling fact,anger
even feel outraged,anger
im feeling jealous thinking wrapped clean warm soft,anger
found someone knew someone else taking test,anger
could sit hour old friend catching feel like uber gorgeous,joy
didnt feel cold fire every night,anger
begin feel even agitated realize keith detoured tourist stop another small mountain village way xela,anger
feel pressured say something,fear
feel like bitter towards people upper class upper class,anger
expect ou win feel strongest competition pretty talented experienced ok state squad,joy
came following drawing blank called help feeling fearful attacked,fear
starting feel alarmed,fear
could genuinely connect enjoy instead withdrawing feeling resentful,anger
feel hostile thought taking credit card,anger
feel content alive motivated,joy
already feel impatient cancel hyundai tucson last year waiting almost seven month,anger
feel insulted offended hurt,anger
feel part family universe rather fearful,fear
feel awfully blessed,joy
feel reluctant walk,fear
love whiff certain scent take back certain time place remind certain person make feel content nostalgic,joy
love make feel greedy,anger
would want welcome home end feeling mommyhood threatened inability breastfeed baby,fear
see lot older son angry god father giving want even though feel pretty faithful though screwed plenty,joy
havent feeling bouncy lately ive quietly keeping head til phase pass hence almost complete absence lj,joy
feel fucked want shut,anger
havent able squeeze run two week feeling really cranky lethargic,anger
also exciting space admit feeling curiously excitedly optimistic future,joy
take leaving feeling even distressed,fear
feel creative right make happy,joy
feel team target given valuable experience feedback use constructively help within study future,joy
hope mine go well moment unfortunately feeling bit resentful aftermath holiday,anger
wish every time come away feeling invigorated inspired,joy
still wake every morning feeling blessed unable believe im lucky enough able call amazing family mine life,joy
mean puzzle section par coffee numb mental faculty right still crossword shouldnt able make feel dissatisfied,anger
feeling lap divine mother holding soft tender arm,joy
feeling frustrated somewhere season season cc anime found anipike website fanfictions written cc character,anger
came home work today feeling satisfied work went alright,joy
played great set feel really hesitant ask,fear
feeling adventurous extra musical,joy
really feel vunerable frightened,fear
could checked back feel like got greedy took shot endzone throw right ball wanted throw got picked,anger
feel like feel mistake time fucked sleep take,anger
feeling wronged impotent,anger
remember giddy feeling contented good fortune lucky lucky safe cozy home watching fabulous man head day knowing coming home hour,joy
sobbed cried feeling quite vulnerable nothing said nothing,fear
im sure left feeling angry unhappy also caused member staff feel angry aggressive upset hurt final say personal attack say awful individual bad attitude,anger
feel pain pleasant,joy
think future subcontinent find feeling optimistic despite everything read paper,joy
already feeling pretty nervous prospect suitcase full dvd watched one,fear
admit feeling slightly alarmed book also based olden sarawak seemed parallel plot line jugra chronicle,fear
ive feeling much confident,joy
need find way feel pretty,joy
ive feeling like im shaky quilting water started questioning work,fear
worried feeling supposed church rich dr,joy
suppose moping misery feeling extremely agitated lot people,fear
feeling impatient havent blogging day pretty similar sleep eat pregnancy pain sleep etc,anger
feeling stressed run support immune system,anger
dream jeannie could still feel violent grip hand shoulder,anger
feel reading allthingsbucks blog brought tear eye lump throat feeling worthwhile thing upset shouldnt write lame blog,joy
abruptly reminded feeling agitated la,fear
guess thats bought black nail varnish co feeling rebellious,anger
climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day,anger
feeling pretty cranky called garage door guy morning said scheduler wasnt husband massive heart attack weekend he okay couldnt give time repairman call come,anger
im feeling uncomfortable comfort warmth,fear
even italian feel outraged stupidity ppl blog,anger
im feeling frantic yet instead going make sleep teddy,fear
feel talented illustrator designer one know get idea across without trapping crosshatching lensflares everything,joy
feeling shaken walking along street le able concentrate accident simultaneously worrying one due concentrating,fear
feel absolutely overwhelmed,fear
feel like rely entirelly god word yet impatient wait,anger
im feeling bit distressed,fear
find feeling happy feel good,joy
feeling need creative,joy
think lot fun meeting player expectation making player feel clever making seem like clicking option know,joy
feel spiteful towards people sometimes way look make want hurt,anger
im feeling annoyed add dont feel important whatever shit anymore,anger
stated reason feel fearful feel unsafe,fear
feel peaceful secure independent,joy
im feeling intimidated achievement,fear
feel fearful actually one thing usually turn good thing,fear
actually tell breathe breathe breathe feel absolutely terrified know go home life missed anymore,fear
dunno word im even looking guess im exactly feel im selfish know,anger
feel like petty worried,anger
feel sincere,joy
ive feeling immensely overwhelmed,fear
feeling rebellious often suppose,anger
know gut feeling really bothered said,anger
time sister first baby happy joyous stayed two day marriage child,joy
feel like go emotion angry,anger
know shes right feel energetic awake patient happy im running daily still feel little bad believe breast milk much better baby formula,joy
stranded north fraser island submerged wd hire vehicle,fear
feel hostile kinship mounting nausea know back mean binding,anger
name opening passage saying may strike reader rather singular far fetched may feel assured mean far fetched circumstance would impossible give name,joy
feel show around show horse people trusting relaxed show horse safe quiet handled frequently,joy
im feeling little hopeful future like matty always say want world get bigger,joy
feel insecure writing,fear
feel though pretty dangerous apply one strategy match,anger
know feel threatened job even long year get really tired ganging get,fear
still try force even feeling irritable withdrawn quiet time,anger
miss safe comfortable made feel vulnerable able knew loved,fear
hesitate give star book feel giving star saying absolutely perfect improvement made,joy
also feel though assumption rude soon informed married next question follows kid,anger
ive talked telling sometimes feel shes sincere,joy
im enjoying winter hate feeling cold dress many layer,anger
especially feel strongly moment gina died fucked family could ever imagine wrote letter misgiving insecure time love enough,anger
didnt sleep quite well last night still feel quite energetic morning,joy
get angry feel bitter,anger
could even think said uh well day feel like im tortured want pull hair scream guess,anger
feel overly distracted tabby started working path route wood big creek around former second meadow,anger
feel irritated,anger
im feeling font friendly,joy
sipping diet coke watching swimming lesson feeling aggravated mousekins better listener thought crossed mind,anger
stand feeling threatened looking shoulder,fear
forgot take yesterday morning took two feel super sick,joy
really feel bothered north london derby,anger
feeling seriously feel love someone treat disregard faithful loyal,joy
went feeling little bit scared running training date almost non existent,fear
feeling manipulkated wronged son though lucy charlie brown,anger
im also feeling shaky confidence faith time feel like im growing spiritually lot also growing lot understanding world around,fear
defensive feel threatened,fear
im feeling quite pleased week,joy
suppose one love someone one would feel doubtful,fear
im feeling seriously pissed something fantabulous utterly stupid,anger
feel rich indeed,joy
feel vulnerable yet protective,fear
feeling reason glad back,joy
feel divine envelope watch literally hundred faithful mass line eucharist hundred people include professor homeless banker student rich poor mentally ill healthy conservative liberal gay straight sweet rude arrogant kind,joy
could feel sweet spirit happy helping,joy
wasnt going post anything death made feel mad shitty,anger
feeling reluctant spending money really ipad x price way question,fear
chose share little personal snippet phone know one feel way know one petrified face,fear
said feeling little shaky stared ocean goddess rising knowing,fear
love adoption teenager many people feel afraid consider,fear
earth crake,fear
received first year result first year involved lot work pleased got result,joy
still believe feminism still believe saving power rock music bauer proclaims end article left feeling skeptical unconvinced,fear
feel fabulous,joy
ive feeling bothered lately,anger
worry feeling resentful woman work,anger
try hold tongue try see point view inside feeling agitated irritable pressure please seem get self order,fear
ignored minor tantrum jumped table beginning pace feeling agitated,fear
feel beyond pissed disappointed frustrated,anger
stop relying view others self worth thus feel threatened behavior,fear
feel though past two month strange waking hour upon even stranger dream everything year wisconsin,fear
know beginning im already feeling fucked,anger
become comfortable remodeled office feeling much gratitude wonderful amenity,joy
feel excited,joy
kinda feel like rebellious libertine know,anger
sense mind eye feel divine energy way aloft experience reflection sometimes like rare sunny day rainy climate,joy
feel like gave lot valuable information way improve skin present maintain improve future,joy
feel confused,fear
know feeling sincere could tolerate small trouble stand character performance sex life husband wife,joy
lovely nesty feeling looking cute teeny weeny clothing,joy
learn express feeling way acceptable,joy
im feeling bit stressed sheer number button pressing enthusiast gathering around bike,anger
go walk mother evening feel frantic anxious energy shes losing daughter doesnt know win back,fear
finished feeling amazing,joy
feel pressured people say im going beat whatever,fear
feel jealous sumthg tat thk,anger
want go feeling eager come dazzling cert whilst phone mum feeling least ive made proud,joy
wont go anxiety feeling neurotic,fear
feel petty href http clairee,anger
also feel like excited come back like two home,joy
feel le keen winston churchill quote really feel le keen winston churchill quote href http www,joy
say goodbye fam theyre sad cry feel like heartless bitch hey im pretty excited flying first time know also spend year another country,anger
feel like bitchy time upon retrospect think trying shake,anger
love feeling brave,joy
could prepare bunch dish made safety control home least feel safe ive prepared,joy
feel job give perspective least attempt provide context seemingly intelligent folk say unimaginable thing,joy
feel vulnerable im alone feel incapable defending also could go labour point,fear
feel people possibly appreciate compliment toward possibly sincere dont deserve compliment first place,joy
fragile feel vulnerable pain easy tear,fear
im feeling quite adventurous might find quiet spot read,joy
im feeling bit uncertain comforting draw trusty old louche animal,fear
love way talk sometimes feel shy inside,fear
still feel jealous friend mom talk politely,anger
feeling pressured backed corner,fear
feel pissed,anger
feeling terribly mellow today sitting bed looking window red orange green brown tree outside window listening norah jones reading stuff,joy
really could feel thing felt slightly annoyed nurse every time pushed kept saying thing like incredibly strong woman strong strong,anger
feel scared,fear
feel like woman witch someway tortured beautiful powerful,anger
punched work sunday sighed brunch trumpeter waldo carter said behind know exactly feel startled flinched,fear
teacher blunt relation child child upset arriving home,anger
im feeling pissed,anger
feel relieved,joy
feel apprehensive,fear
walk temptation feel disgusted,anger
hate way mom dad hate neglect feeling need intelligent child rampant parenting style,joy
exam,fear
feel writing blog selfish reason know god use purpose,anger
guess finality decision financial repercussion feeling doubtful,fear
idea get gastric pain feel stressed,anger
know cynicism involved also know come lesson learned last couple year life feel resentful damaged feel fortunate enough clubbed upside head bigger dose reality,anger
think like feel lively dorama,joy
get frustrated know thing thinking feeling petty try limit opinion sort validity,anger
feel graceful almost mythical,joy
feel resentful feel guilty,anger
get new year eve make feel rebellious underage,anger
feel selfish day dont feel well want left alone misery,anger
feel irritable unfulfilled dont paint several day,anger
feel adventurous willing take risk img src http cdn,joy
always feel invigorated listening win war predatory school deform,joy
feeling pretty bitchy horrible dont worry,anger
walking around feeling pissed world lately,anger
feel free exhilarated,joy
feel angry im happy,anger
feeling particularly hostile shell say red shirt today nickey,anger
hear word feel stronger assured,joy
girlfriend sent letter shiny picture,joy
hear loud clear important issue grand scheme thing cant help feel petty,anger
feel like care im bit heartless,anger
feel he casual entire future,joy
im feeling bit suspicious,fear
feel equally morally outraged regardless whether michigan new york governor sleeping prostitute behind wife daughter back,anger
tired feeling overwhelmed seems like assaulted every direction always best,fear
im actually feeling little smug,joy
met used want lock vault feel precious,joy
really want share chance win feel passionate subject,joy
help feeling bit apprehensive meantime,fear
im feeling exactly thrilled standing front mirror know mean,joy
know art animal lame feel particularly violent crab,anger
always intended achieving could everyone else feel like intelligent productive successful person,joy
still think worth posting reminder next time feel anxious,fear
cant help feel distraught,fear
ask feel pressured,fear
feel uncomfortable slobby,fear
feel though sometimes clever average,joy
growled began feel extremely annoyed,anger
feel cheated wronged let spurned vine tended nursed could,anger
want sending crap feel almost insulted win embarrassed whoever made like oregon,anger
feel impatient sometimes feel thankful god gave time moulding heart,anger
feel bit frightened touching car away repeatedly ask stop putting stuff,fear
im happy feeling something last day ive felt pretty,joy
feeling dangerous task dancing lightening storm umbrella,anger
wish didnt feel like roommate hated half time,anger
often feel offended life,anger
need much prayer considering thing like still always feel little reluctant act anyway,fear
im feeling pretty paranoid trying cover cash protect belonging definitely felt like something shouldnt like money laundering something,fear
admit feeling skeptical,fear
intensely conscious much cash left gas food envelope still intended save next week help feel stressed scared,anger
feel irritated either interrupt quiet time wake,anger
im getting feeling class little intimidated concept lit,fear
im feeling grumpy week annual outbreak ptpt pre te pouhere tension surely great deal grumpy week,anger
feel vital make day live fullest potential,joy
feeling annoyed suddenly,anger
feel disgusted cant tolerated action anymore writing post,anger
feel completely shaken,fear
im excited feeling scared,fear
felt like losing control body hard feel calm positive irrational thought,joy
feel like pickle fridge everything ok,joy
feeling hopeful looking forward,joy
still really feel like kind hated picture soooo glad took,anger
feel like violent war going stomach,anger
strange feeling incredibly distressed,fear
ask feeling adventurous want see one since already booked friday saturday night already know church stuff sunday,joy
im finally looking forward toe kissing sand feeling free,joy
already feel like ive accepted community,joy
wonder feeling complacent result laziness,joy
guess wife really know sure feel least little bit le selfish since married,anger
saw family separation one year,joy
feel frustrated irritable even,anger
think poem put pressure feel uncomfortable sense feeling feel understanding understand loving able love,fear
id like le afraid say really feel le afraid travel,fear
feel pissed bite fucking tree log,anger
feel another violent daydream coming bet something getting hand saint costume,anger
never realized awful mother feeling lack energy independence operation wimpy tired,fear
feel insulted doesnt even respect enough let know he coming indicated going bed,anger
told continues fact feel fear frightened correction terrified next,fear
im quite sure feeling specially nothing hostile,anger
feeling jeremy going keen vinegary smell callus giving right,joy
worked computer tech ability hyper focus one issue real asset however living day day get bogged feel frustrated making progress focused one problem,anger
may resurrect im feeling generous lengthy series history celebrity crush,joy
told asian considerate whenever person feeling well would common courtesy wear mask reduce risk spreading people around u,joy
im feeling anxious im really trying project exact opposite,fear
id tell feel cede control life way prevent doomnation extremely clever play damnation know,joy
feel hated isolated hurt,anger
feel strange sadness thing ready,fear
used feel frustrated time,anger
thought later feeling anxious worried,fear
might start feeling nervous tomorrow im sure,fear
got amazing news tracy today final cover chapter wonder feeling rushed seemed didnt enough time,anger
feeling quite nervous,fear
feel angered firey,anger
feel petty getting worked stuff thats really whats made way,anger
feel child harm way feel frightened,fear
still able remember single dull moment detail pissed thing didnt feel comfortable,joy
questioned wondering didnt feel jubilant,joy
love give great feeling contented accomplishment,joy
mean would feel euan got hauled murder knew innocent,joy
always got feeling hated,anger
feeling restless irritable discontent,fear
ended episode feeling really pissed,anger
would guilty conscience would feel like heartless bitch,anger
closed eye anger feeling disgusted touch,anger
feeling sort anxious sure,fear
feel team pretty dangerous playoff york left wing ruslan fedotenko note said,anger
feel really petty moment extremely angry im broke moment sort piss,anger
drove away today feeling overwhelmed news heard trillion time news heart know already,fear
feel like thats cop safe people,joy
feel tortured looking lecture note nothing going except holiday plan,anger
think right feel insulted,anger
serious argument dear person,anger
asked feel frightened,fear
feeling little grumpy could pm,anger
feel like want stop think wimpy muscle le sister tough mudder,fear
im tell arent alone feel vulnerable,fear
think almost made counsellor cry yesterday said feel like dont anyone supporting,joy
feel bit shaken though,fear
used feel music gone replaced bitter taste mouth lot sadness,anger
kind struggled though didnt feel like super powerful,joy
feel uncomfortable guess,fear
sometimes feel stubborn spite rather spite,anger
visited psychologist year ago really took heart said closing letting others know feel uncomfortable etc,fear
feel hated jim martin,anger
feel thigh stubborn going away rate stomach arm butt,anger
feel charming people feel terrible,joy
feel often forefront soon becomes popular,joy
private person although going anything personal feeling anxious writing,fear
felt afraid receiving question paper part ii exam,fear
feel thankful rel bookmark day feel thankful posted href http babychaser,joy
ready cry feel sweet presence ruach hakodesh holy spirit room right,joy
feel compassion understand feel insecure,fear
think whenever moved new place find way feel accepted,joy
feel irritable feel sensible ever,anger
feeling resentful choice choose thing differently next time even change choice,anger
going feel annoyed,anger
could really screwed waiting sitter feeling stressed,anger
feel rather petty dont time someone talented like christine make,anger
feeling pretty terrified full nervous energy,fear
feel assured right answer,joy
try explaining feeling someone dismisses blindly feel frustrated disinterested discussing opinion put place know experienced living,anger
im sure energy trying sew race dubai competing fedex cup taken maybe thought feeling ok physically mentally feel really tired said,joy
want feel safe well maybe maybe there small chance feel joy dream come true,joy
acquainted sleep feel like name ensure im rude maybe name already,anger
feeling shy,fear
feel tortured thought feel true,fear
make arcade simple purpose try make feel absolutely comfortable physically emotionally practically absolutely,joy
feel petty moaning annoying im keeping stuff bag room ask always say im keeping stop bathroom getting cluttered,anger
feel pretty mellow far whatever healing wounding process may getting underway,joy
feel alarmed,fear
worry every nuance day presentation others le little thing worry make feel le neurotic overall le likely trigger psychotic episode well,fear
lost kg feeling fab,joy
said sir feel real time company experience mba would valuable career gate since work day company support based,joy
know create destiny ever feel resentful way life turned,anger
feel amused smile tug lip,joy
right feel jealous naman think na there u begin,anger
thinking negatively thing often feeling benign actually excited anticipation,joy
however feel way hostile anyone capable violence,anger
empty disappointed angry sad chaotic destructive feel today im mad always fuck shit,anger
feel shaken scared,fear
consulted aunt doctor partially wanted counsel without copay mostly feeling doctor would skeptical,fear
feel still end nervous naughty butterfly flying around stomach,fear
feeling mad,anger
using vent ugly feeling vicious nasty rather deal like adult,anger
feel lucky nice able buy lovely resource little one care,joy
know least one person besides feeling nervous anxious getting started,fear
feel uptight know hate constantly trying catch glimpse tv window listen,fear
didnt feel much like thats largely resolved,joy
want need hear make feel valued,joy
im feeling indecisive scare,fear
feel dangerous,anger
could feel peace welcomed week packing saying good bye dealing overwhelming feeling displacement,joy
alba feel good im fitting,joy
feel like hated person planet turning brendon,anger
came place base wasnt feeling like wander far afield wish adventurous heard wonderful thing salon,joy
im feeling rebellious need something relieve turmoil body,anger
feeling spiteful brought saw hurt face,anger
get past feeling friend walk life unsure feeling valued important enough,fear
feel ok lol,joy
dont know feel emotionally assaulted fact,fear
feel friendly hate,joy
im feeling little gun shy,fear
hope feel bit creative soon miss presence life blog,joy
resent much feel needlessly unreasonably angry whenever around slightest idiosyncrasy make sick,anger
know cant ged rid feeling seriously dont see parent supporting dating guy age,joy
im feeling hopeful seems like good time switch doctor,joy
think nicely sum feeling talking much artistic pursuit,joy
could almost feel flame singed tortured frail delicate body leaving nothing behind foul smelling concoction wood burnt flesh,fear
ive spent last half hour feeling ridiculously angry insensitive comment partner changed minute ago real pride much changed,anger
feel like proud mother watching child grow develop adult quite seriously business like child,joy
feeling really frantic knew find james,fear
woke nap feel extremely agitated grumpy,fear
know tried new character yet universe feel much lively began hoping true new character well,joy
feel violent nature generic,anger
people harrass feel oppressed behavior,anger
bet taylor swift basks knowledge boy writes song probably feel tortured,fear
couple thing left make start december done feeling smug,joy
havent exactly gone spin around block yet since id feel strange strapping teddy bear place baby look nice sturdy like trick,fear
start feel unsure,fear
feel apprehensive opening blue door,fear
feel uncertain something act positive powerful way,fear
know contributed success feeling petty enough today ignore contribution,anger
happen witness sadistic act,anger
hope see feel mad glint eye madness pathological curiosity needed,anger
know told feel intimidated smart,fear
want tell im feeling dont know start want tell everything im afraid youll break heart would something easy hard,fear
need express feeling badly ignore offended,anger
feel take mg seroquel either restless leg syndrome keep awake night,fear
im really hurting feeling bit overwhelmed,fear
feel entirely free express way feel surroundings life myriad experience continue make,joy
mother come home till late night age ago anyway dont know parent theyll back start thinking perhaps accident perhaps dead,fear
feel overwhelmed im nauseous,fear
feel like im selfish,anger
feel like dangerous human right,anger
im taking advantage feeling artistic incase run away bell baby day yay,joy
manage reach conclusion musing feel somehow resolved,joy
feel heartless feeling bored believe love anymore,anger
feel bashful teasing scrutiny,fear
something make feel bothered,anger
want cry either know think feel tortured eat black part rice,anger
feel greedy selfish,anger
feel invigorated focused im led pursue right future,joy
feel shy people reading writing brother sister would see real life work,fear
feel violent im paper tiger,anger
feel like try calm shes good since game ended see katniss getting tense every schedule adjustment,joy
feel especially vulnerable treated second class citizen,fear
could feel person pissed person didnt understand trying say personal attack asking whats nationality giving shit face blah blah,anger
remember two specific thing class feeling terrified teacher would repeat question spanish increasing volume victim either managed answer correctly ran away screaming feeling distracted cute boy helped study test,fear
love ted talk feel intimidated inspired greater great found simplicity,fear
know tv isnt everyones cup tea includes feel free scroll bit,joy
still feel bit overwhelmed,fear
ive hanging around younger people feel like im see photo u together suddenly shaken see old look,fear
im feeling invigorated ready whats ahead excited share information,joy
feel honored know,joy
feeling may popular lady folk,joy
feel people encounter day rude mean reason,anger
feel tranquil right great,joy
put christmas tree im feeling fairly festive,joy
feel like wine something amused,joy
feel quite nervous scared x scared co ill taking plane back singapore co cant stay long two friend planned,fear
feel like shouldnt even bothered,anger
think people little problem expressing help feel afraid let hang express emotion get nearly much airtime,fear
know believe feel part still hesitant old would said anyone believed god crazy,fear
sometimes feel vulnerable lost,fear
feel uncertain similar family reached uncertainty preclude u serving meantime discovering way reach others,fear
saying feeling helpless walk toe,fear
feel like someone strange uncle trying break ice party showing amazing talent thinking guest impressed turn made everything hundred time awkward,fear
always feeling shape became increasingly frustrated daily accumulation body fat elusive,anger
feel amused different debate going hand felt there something missing,joy
feel like breath rushed,anger
lived life without feeling acceptance felt though trouble misery followed everywhere went everyone hated,anger
im still feeling little shaky write post,fear
ive feeling restless career,fear
give probably degree might see much feel taken advantage wronged sense absolutely problem shutting walking away,anger
im feeling irritated friggin name,anger
child stole rmb grandfather maternal feel exceptionally wronged,anger
im feeling queezy cant bothered putting order go,anger
feel like dangerous animal prowl jungle onto warm sand deserted island,anger
know signifies feeling dangerous secure relaxed guess causing undue stress,anger
look back feel incredibly satisfied life refreshed ready next adventure,joy
remember feeling hellip furious shooter,anger
want accept inevitable become grumpy old men woman age want accept feeling irritated annoyed trivial little thing normal,anger
