Tweet_Preprocessed,Intensity Class
americasgottalent live show many technical fault disheartening,-3: very negative emotional state can be inferred
feel intimidated,-2: moderately negative emotional state can be inferred
teacher attempting teach without inspiring pupil desire learn hammering cold iron horacemann,0: neutral or mixed emotional state can be inferred
dont fucking tag picture family first cut year ago youre one,-3: very negative emotional state can be inferred
baekff byunglows philippine,0: neutral or mixed emotional state can be inferred
bright cold day april clock striking thirteen george orwell,1: slightly positive emotional state can be inferred
literally hanging thread need taylor ray tonight loving bad dog suck taylorrayholbrook hurting taylorraystweet,-2: moderately negative emotional state can be inferred
three retweets dumb fox shit one original tweet blatant lie scrotus morningnada wretched offspring,-2: moderately negative emotional state can be inferred
bernadetteally cute smile,1: slightly positive emotional state can be inferred
nextofficial placed order nearly grand six week ago called yesterday order missing call back today shocking,-3: very negative emotional state can be inferred
point cant tell follow people politics twitter need new friend wheresthefunny depressing,-3: very negative emotional state can be inferred
jackruff horrible pudding butterscotch pudding monday dreadful fringe,-3: very negative emotional state can be inferred
nro acosta cnn realdonaldtrump remember nro gave cnn grief relentless hc email crusade either,-2: moderately negative emotional state can be inferred
worry never robs tomorrow sorrow sap today strength j crown faith positive motivation,0: neutral or mixed emotional state can be inferred
steadilady youre eating skin could sent tannery leather processing,3: very positive emotional state can be inferred
sruhle msnbc sebestian gorka arrogant ahole business speaking,-2: moderately negative emotional state can be inferred
fierzaarbx hi fierzaa hope friend roblox btw love kat usernameusatylerx,3: very positive emotional state can be inferred
jadeodette one wrong want believe hampm haha,0: neutral or mixed emotional state can be inferred
wow today totally seeing alot mean people world turn around start cultivating kindness successtrain warrior,1: slightly positive emotional state can be inferred
new u citizen swearing tear congratulation,1: slightly positive emotional state can be inferred
tipofthedaydo distracted one accuse right mission youcontinue living pleasing,0: neutral or mixed emotional state can be inferred
hlliejburrows congrats beautiful,2: moderately positive emotional state can be inferred
monikagoswamirk see episode dillagi still curious youre falling hero watching soon,1: slightly positive emotional state can be inferred
time bed real bed four night camping bliss,1: slightly positive emotional state can be inferred
russia story infuriate trump today medium otherwise would giving tongue bath fall isi mosul albaghdadi death,0: neutral or mixed emotional state can be inferred
hearing song phone glued ear like singer spoke mad mad hahah,0: neutral or mixed emotional state can be inferred
b couldnt get bed look mirror thankfulall support recieved imwakinguphappynot dreading theday,2: moderately positive emotional state can be inferred
started depression amp anxiety shitsall suicide thoughtsall bad thought thts hugging night,-2: moderately negative emotional state can be inferred
beautifuibaek wow hope win thanks,1: slightly positive emotional state can be inferred
feel snapchat new feature snapmap twitterpoll poll vote poll snapchat twitter tech technology,0: neutral or mixed emotional state can be inferred
excepted eclipse make believe omniscience force dissapointed,-3: very negative emotional state can be inferred
doranadal janeforrafffa bigsmile great post greatrafa loverafa,3: very positive emotional state can be inferred
chrisyour dont sad ultimately apparently supported completely mostly working,-1: slightly negative emotional state can be inferred
iamjpk nameisnani phd eesav gattiga,2: moderately positive emotional state can be inferred
candycmarketing happens dont want watch content cant vote,3: very positive emotional state can be inferred
much caffeine im dyyyying jitter shake paranoia heartbeat,-2: moderately negative emotional state can be inferred
hmmlooks like one tampax available respond like waiting doomsday reply burning question answer,-3: very negative emotional state can be inferred
gracious godfor soul take refuge shadow wing take refuge psalm hope jesus joy,0: neutral or mixed emotional state can be inferred
brighten gloomy day siennaxofficial spray tan tan suit everybody spraytan tan summer godalming hurtmore,-1: slightly negative emotional state can be inferred
stuael ano man im stunned one point head gone scoring relieved,0: neutral or mixed emotional state can be inferred
im glad im like sad people online gossip bully others entertainment life,-2: moderately negative emotional state can be inferred
hope youngins mentalhealth balance crucial existence sustenance lifenot much sad albeit wish happy perpetualits,0: neutral or mixed emotional state can be inferred
jewleree gameofthrones lmao night king smile,3: very positive emotional state can be inferred
today first time youre playing ffxii happy zodiacage,3: very positive emotional state can be inferred
already nico ur really need smile ur im confused,-2: moderately negative emotional state can be inferred
waking scent coffee there pleasure nnmorning carliforniadreaming writer,2: moderately positive emotional state can be inferred
like glow dark fidgetspinner glow dark neither feel lighter smoother others,2: moderately positive emotional state can be inferred
learn live life regardless circumstance amp let life leave npurpose growth process confident happy joy,3: very positive emotional state can be inferred
rksallycat im planning september,1: slightly positive emotional state can be inferred
devlinjim sophielong daniel throne like fiery flame wheel burning fire,-1: slightly negative emotional state can be inferred
alicet shaneywaney shaneywaney u horrible non gender binary boy go fangirl mediocre singer cant even support,0: neutral or mixed emotional state can be inferred
threaten leave girl shaking wet spot,0: neutral or mixed emotional state can be inferred
elebelfiore isnt always control mistrust,0: neutral or mixed emotional state can be inferred
always getting receiving already given receive joy made available jesus,0: neutral or mixed emotional state can be inferred
ripbiwott think robert oukos soul rejoice rest peace call evil man evil good man good man evil man,-1: slightly negative emotional state can be inferred
good morning happy tuesday hope terrific day enjoy ton,3: very positive emotional state can be inferred
absolutely two worst national anthem singer ive ever heard screwed word awful,-2: moderately negative emotional state can be inferred
click download pc message say thank downloading itunes nso wheres download frustrated,-3: very negative emotional state can be inferred
israel recent overture towards west africa seems attracting element suspicionan unnecessary suspicion though,0: neutral or mixed emotional state can be inferred
actually watch drug destroy entire family mother skid row oldest daughter lost child father estranged horrific,-3: very negative emotional state can be inferred
great start beginner jump auto trading profitable fx ea give full support manual amp team viewer support,1: slightly positive emotional state can be inferred
caseydellacqua ashbar cheering go caseydellacqua ashbar,2: moderately positive emotional state can be inferred
cnn newday trump whitehouse arent held accountable actionswhat precedent set future presidency nightmare,-2: moderately negative emotional state can be inferred
u smile muchnu get frown linesnif u cry much nu get eye wrinklesnn laughampcrynn life nnhave great daynns,1: slightly positive emotional state can be inferred
yes joe buck wan na spend evening im glad get hear sweet voice next hour allstargame sarcasm,1: slightly positive emotional state can be inferred
rage disappointment man life lol,-2: moderately negative emotional state can be inferred
someone need start listening ossokxly allstargame idea brilliant espn,0: neutral or mixed emotional state can be inferred
boy awful also amazing right,0: neutral or mixed emotional state can be inferred
maryknoll fuming kenny,-3: very negative emotional state can be inferred
ffigurefbust ive thinking getting done youve given frighten,-2: moderately negative emotional state can be inferred
coming shortly wetindeyhappen satire laugh local pidgin cc mctalkindrum funnyudeme staytuned premiumtalkstation,0: neutral or mixed emotional state can be inferred
wvgmltd dalefootcompost thomasetty would like clean cooker top please sparkling nome sunglassesneeded,1: slightly positive emotional state can be inferred
michaelsloan skyfootball disappointment actually new club sponsor,0: neutral or mixed emotional state can be inferred
lot university actively discourage even one parttime job negative impact study,-2: moderately negative emotional state can be inferred
happy share new video preview local favsncompose excitement cbcmusic musicyyc cjsw breakoutwest hificlub,3: very positive emotional state can be inferred
thealiceroberts fryrsquared adamrutherford theyve obviously never tried repressing red head fiery,-2: moderately negative emotional state can be inferred
leahremini religion push people suicide punishes right thing heartbreaking,-3: very negative emotional state can be inferred
alcohol cloud everyones judgement dawn young men really dont understand vulnerable mean ironic,-1: slightly negative emotional state can be inferred
nigga write talking bout dreamt cool hope haunting nightmare,-2: moderately negative emotional state can be inferred
hour n wordsn storynamwriting horror publishorperish,0: neutral or mixed emotional state can be inferred
hey nhsengland imagine blue lighted hospital unable breathe dumped cubicle seen hour horrendous,-3: very negative emotional state can be inferred
come quiet well behaved cat dog ride plane tiny bag screaming small human roam free outrage teampet,-2: moderately negative emotional state can be inferred
louiselinton hater gon na hate keep yourfabulous self theyll keep miserable,-2: moderately negative emotional state can be inferred
look upon mine affliction amp pain amp forgive sin p,0: neutral or mixed emotional state can be inferred
skh theveteranfa tomilahren whyd wait start getting pissy,-1: slightly negative emotional state can be inferred
badhombrenps secretaryperry didnt make angry id laughing tweet,-2: moderately negative emotional state can be inferred
whitejennyb emreuslu jenny white u r dumbest r u trying get lost,-3: very negative emotional state can be inferred
wrapped burrito got ta sweat,-2: moderately negative emotional state can be inferred
realize may worry gone long fear made new life sewer,-2: moderately negative emotional state can be inferred
emmajckson awe thank,2: moderately positive emotional state can be inferred
selling nude pic vids kik buy dirtybeccannkik kikme kikusernames snap snapchat findom nude slut kiktrade horny,0: neutral or mixed emotional state can be inferred
shy firstit usually take minute ass jaw people hanging act according,0: neutral or mixed emotional state can be inferred
thanks thrilling allstargame mlb sarcasm,0: neutral or mixed emotional state can be inferred
andyfleming bastard squirrel,-3: very negative emotional state can be inferred
dannie youre terrible influence piercing time,0: neutral or mixed emotional state can be inferred
realdonaldtrump hard believe youve worked bigly hard bring country together sarcasm impeachtrump amendmentnow,0: neutral or mixed emotional state can be inferred
mikeandmike busterespn get time oriole buyer seller going panic,-2: moderately negative emotional state can be inferred
next time go lagos gate crash somebody owambe dressed lace gele eat amala shake waist,1: slightly positive emotional state can be inferred
popstufs coffee good view even better,2: moderately positive emotional state can be inferred
tikitakaconnor eduardo without injury honestly amazing like sad he looked right light injury,-1: slightly negative emotional state can be inferred
ai revolation soon possiblenfearless fearful good goodness,2: moderately positive emotional state can be inferred
post trnsmt blue,-1: slightly negative emotional state can be inferred
idk help someone smile come lipsnnthatisall ieverwant noneeds justyou love peace smiling face kindness,3: very positive emotional state can be inferred
think sleep favorite get dark maybe im insomniac,-2: moderately negative emotional state can be inferred
amelia want sarah v grateful cbb,1: slightly positive emotional state can be inferred
lack faith make people afraid meeting challenge nnmuhammadali,0: neutral or mixed emotional state can be inferred
james clapper scary disturbing thamendmentnow impeachtrump terrified nuclearcodes godhelpus,-2: moderately negative emotional state can be inferred
